,page,country,rev_id
44869,Julius Gregr,Czech Republic,395521877.0
44870,Edvard Gregr,Czech Republic,395526568.0
44871,Miroslav Poche,Czech Republic,672862914.0
44872,Vojtěch Mynář,Czech Republic,673008587.0
44873,Jan Malypetr,Czech Republic,704424304.0
44874,Emanuel Moravec,Czech Republic,705080136.0
44875,Vladimír Hučín,Czech Republic,707597623.0
44876,Pavla Topolánková,Czech Republic,709676840.0
44877,Josef Barák,Czech Republic,711675761.0
44878,Antonín Švehla,Czech Republic,712426548.0
44879,Jakob Marzel Sternberger,Czech Republic,713698544.0
44880,Alois Anderka,Czech Republic,714174726.0
44881,Ivan Dejmal,Czech Republic,715467197.0
44882,Franz Macoun,Czech Republic,715640391.0
44883,Karel Urbánek,Czech Republic,716711851.0
44884,Vladimír Klokočka,Czech Republic,717429365.0
44885,Jaromír Jermář,Czech Republic,720027362.0
44886,Artur London,Czech Republic,721736524.0
44887,František Sláma (politician),Czech Republic,722937211.0
44888,Jan Kubice,Czech Republic,723151837.0
44889,Kamil Jankovský,Czech Republic,723207013.0
44890,Václav Vacek,Czech Republic,724691268.0
44891,Čestmír Císař,Czech Republic,725362978.0
44892,Luca Rovinalti,Czech Republic,726666131.0
44893,Kamil Krofta,Czech Republic,726762194.0
44894,Milan Štěch,Czech Republic,728506208.0
44895,Antonín Janoušek,Czech Republic,729912438.0
44896,Bedřich Geminder,Czech Republic,730146355.0
44897,Karel Domin,Czech Republic,735174171.0
44898,Hubert Ripka,Czech Republic,737562321.0
44899,Tomáš Eduard Šilinger,Czech Republic,741588720.0
44900,Petr Janyška,Czech Republic,741798984.0
44901,Jana Juřenčáková,Czech Republic,743423675.0
44902,Jaromír Nečas,Czech Republic,744448745.0
44903,Siegfried Taub,Czech Republic,744612257.0
44904,Záviš Kalandra,Czech Republic,746707985.0
44905,Alois Rašín,Czech Republic,749575931.0
44906,Bedřich Reicin,Czech Republic,749945936.0
44907,Bernd Richter,Czech Republic,751718674.0
44908,Kamil Kalina,Czech Republic,753045804.0
44909,Richard Sacher,Czech Republic,755428089.0
44910,Václav Fischer,Czech Republic,756317863.0
44911,Božena Viková-Kunětická,Czech Republic,757336278.0
44912,Mikuláš of Hus,Czech Republic,758942647.0
44913,Gertruda Sekaninová-Čakrtová,Czech Republic,759446334.0
44914,Petr Mlsna,Czech Republic,765838180.0
44915,Antonín Cyril Stojan,Czech Republic,768047769.0
44916,František Kubka,Czech Republic,768676716.0
44917,Josef Pfitzner,Czech Republic,773853256.0
44918,Vladimír Franz,Czech Republic,774595725.0
44919,Jan Stocklassa,Czech Republic,776095794.0
44920,Jaroslav Krejčí,Czech Republic,776197284.0
44921,Libuše Benešová,Czech Republic,776338134.0
44922,Daniela Filipiová,Czech Republic,776338195.0
44923,Moses Porges von Portheim,Czech Republic,776487173.0
44924,Jan Kasl,Czech Republic,776508129.0
44925,Jiří Kittner,Czech Republic,776509425.0
44926,Miloslav Vlček,Czech Republic,776513404.0
44927,Ivo Svoboda (politician),Czech Republic,776513552.0
44928,Hana Orgoníková,Czech Republic,776513802.0
44929,Pavel Dostál,Czech Republic,776514175.0
44930,Jiří Lobkowicz,Czech Republic,776751749.0
44931,Bohuslav Kokotek,Czech Republic,777876483.0
44932,Alena Hanáková,Czech Republic,778095433.0
44933,Irena Kočí,Czech Republic,779417455.0
44934,Martin Netolický,Czech Republic,779417738.0
44935,David Rath,Czech Republic,779418369.0
44936,Eva Nováková,Czech Republic,779498276.0
44937,Vojtěch Adam,Czech Republic,779500408.0
44938,Vlastimil Balín,Czech Republic,779500749.0
44939,Jiří Dolejš,Czech Republic,779500957.0
44940,Zuzka Bebarová-Rujbrová,Czech Republic,779501010.0
44941,Marie Stiborová,Czech Republic,779501096.0
44942,Jiří Svoboda (politician),Czech Republic,779501161.0
